20260719_132423,Productivity,python.exe,Flow Tracker,8
20260719_132423,Productivity,explorer.exe,Program Manager,2
20260719_132423,Productivity,explorer.exe,Ohne Titel,1
20260719_132423,Productivity,pythonw.exe,Hinzufügen,1
20260719_132423,Productivity,pythonw.exe,Benutzer 1 - Anki,3
20260719_132423,Productivity,chrome.exe,Community Solutions - Google Chrome,7
20260719_132423,Productivity,Spotify.exe,Spotify Premium,2
20260719_132423,Productivity,Spotify.exe,Stormzy - Wiley Flow,2
20260719_132423,Productivity,Spotify.exe,KiLLOWEN - Naughties,6
20260719_132423,Productivity,ShellHost.exe,Schnelleinstellungen,11
20260719_132423,Productivity,Spotify.exe,Solee - Pink Panther,11
20260719_132423,Productivity,chrome.exe,Kurs: 151-0908-00L Bioengineering FS2026 | Moodle Course - Google Chrome,3
20260719_132423,Productivity,chrome.exe,Log in to the site | Moodle Course - Google Chrome,2
20260719_132423,Productivity,chrome.exe,Web Login Service - Google Chrome,5
20260719_132423,Productivity,CredentialUIBroker.exe,Windows-Sicherheit,4
20260719_132423,Productivity,python.exe,Score,4
20260719_132423,Productivity,python.exe,Flow Tracker,8
20260719_132423,Productivity,explorer.exe,Program Manager,2
20260719_132423,Productivity,explorer.exe,Ohne Titel,1
20260719_132423,Productivity,pythonw.exe,Hinzufügen,1
20260719_132423,Productivity,pythonw.exe,Benutzer 1 - Anki,3
20260719_132423,Productivity,chrome.exe,Community Solutions - Google Chrome,7
20260719_132423,Productivity,Spotify.exe,Spotify Premium,2
20260719_132423,Productivity,Spotify.exe,Stormzy - Wiley Flow,2
20260719_132423,Productivity,Spotify.exe,KiLLOWEN - Naughties,6
20260719_132423,Productivity,ShellHost.exe,Schnelleinstellungen,11
20260719_132423,Productivity,Spotify.exe,Solee - Pink Panther,11
20260719_132423,Productivity,chrome.exe,Kurs: 151-0908-00L Bioengineering FS2026 | Moodle Course - Google Chrome,3
20260719_132423,Productivity,chrome.exe,Log in to the site | Moodle Course - Google Chrome,2
20260719_132423,Productivity,chrome.exe,Web Login Service - Google Chrome,5
20260719_132423,Productivity,CredentialUIBroker.exe,Windows-Sicherheit,4
20260719_132423,Productivity,python.exe,Score,4
20260719_132713,Bio,python.exe,Flow Tracker,6
20260719_132713,Bio,pythonw.exe,Benutzer 1 - Anki,2
20260719_132713,Bio,chrome.exe,Web Login Service - Google Chrome,2
20260719_132713,Bio,chrome.exe,aai-logon.ethz.ch/idp/profile/SAML2/Redirect/SSO?execution=e1s3 - Google Chrome,1
20260719_132713,Bio,chrome.exe,Kurs: 151-0908-00L Bioengineering FS2026 | Moodle Course - Google Chrome,128
20260719_132713,Bio,chrome.exe,NotebookLM - Google Chrome,965
20260719_132713,Bio,chrome.exe,Diffusionszeit-Formel: Variablen und Bedeutung - Google Gemini - Google Chrome,121
20260719_132713,Bio,chrome.exe,Organisation Selection - Google Chrome,1
20260719_132713,Bio,chrome.exe,aai-logon.ethz.ch/idp/profile/SAML2/Redirect/SSO?execution=e2s1 - Google Chrome,1
20260719_132713,Bio,chrome.exe,Keycloak Administration Console - Google Chrome,1
20260719_132713,Bio,chrome.exe,Sign in to Keycloak - Google Chrome,14
20260719_132713,Bio,CredentialUIBroker.exe,Windows-Sicherheit,3
